Unnamed: 0,formula_id,category,token_range,token_count,latex_formula,url,modality,transcription_text,ssml_text,survey_id,item_order,formula_row,respondent_id,annotation,formula_match,difficult_parts,pauses_helpful,emphasis_helpful,speech_rate_helpful,explanatory_info_helpful,timestamp,sounded clear,pronounced the words correctly,sounded natural,was comfortable to listen to throughout the survey,sounded like a real teacher,Gender,Age Group,Nationality,Highest Educational Degree,Which area best describes your field of study?,Mathematical Background,English Proficiency,Device Used to Complete the Survey,Audio Equipment used,audio_duration_sec
13,"https://en.wikipedia.org/wiki/Erlangen_program|{\displaystyle \mathrm {O} (n,1)/\mathrm {C} _{2},\ }",Mathematics,11-20,11,"{\displaystyle \mathrm {O} (n,1)/\mathrm {C} _{2},\ }",https://en.wikipedia.org/wiki/Erlangen_program,standard,"Capital O, open parenthesis, n, comma, one, close parenthesis, divided by, Capital C subscript two.","<prosody rate=""slow"">Capital O, <break time=""200ms""/> open parenthesis, <break time=""150ms""/> n, <break time=""150ms""/> comma, <break time=""150ms""/> one, <break time=""150ms""/> close parenthesis, <break time=""250ms""/> <emphasis>divided by</emphasis>, <break time=""250ms""/> Capital C subscript two.</prosody>",1,1,14,study1_r1,14A,5,Nothing was difficult,3,3,3,,2026/06/17 12:33:08 PM OESZ,5,3,2,2,1,Male,35-44,Germany,Doctorate / PhD (or comparable university degree),Physics;Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Desktop computer,Earbuds,11.075833333333334
13,"https://en.wikipedia.org/wiki/Erlangen_program|{\displaystyle \mathrm {O} (n,1)/\mathrm {C} _{2},\ }",Mathematics,11-20,11,"{\displaystyle \mathrm {O} (n,1)/\mathrm {C} _{2},\ }",https://en.wikipedia.org/wiki/Erlangen_program,standard,"Capital O, open parenthesis, n, comma, one, close parenthesis, divided by, Capital C subscript two.","<prosody rate=""slow"">Capital O, <break time=""200ms""/> open parenthesis, <break time=""150ms""/> n, <break time=""150ms""/> comma, <break time=""150ms""/> one, <break time=""150ms""/> close parenthesis, <break time=""250ms""/> <emphasis>divided by</emphasis>, <break time=""250ms""/> Capital C subscript two.</prosody>",1,1,14,study1_r2,14A,5,Nothing was difficult,4,4,4,,2026/06/26 5:07:04 PM OESZ,5,5,5,5,3,Female,55-64,Germany,Master's Degree (or comparable university degree),Social Sciences;Humanities and Languages,"Secondary school mathematics (functions, logarithms, trigonometry)",Intermediate (B1-B2),Tablet,"Built-in speakers (in smartphone, notebook, tablet, etc.)",11.075833333333334
13,"https://en.wikipedia.org/wiki/Erlangen_program|{\displaystyle \mathrm {O} (n,1)/\mathrm {C} _{2},\ }",Mathematics,11-20,11,"{\displaystyle \mathrm {O} (n,1)/\mathrm {C} _{2},\ }",https://en.wikipedia.org/wiki/Erlangen_program,standard,"Capital O, open parenthesis, n, comma, one, close parenthesis, divided by, Capital C subscript two.","<prosody rate=""slow"">Capital O, <break time=""200ms""/> open parenthesis, <break time=""150ms""/> n, <break time=""150ms""/> comma, <break time=""150ms""/> one, <break time=""150ms""/> close parenthesis, <break time=""250ms""/> <emphasis>divided by</emphasis>, <break time=""250ms""/> Capital C subscript two.</prosody>",1,1,14,study1_r3,14A,4,"Brackets and grouping (e.g. ""(..)"" or ""{..}"")",4,4,4,,2026/06/30 6:35:48 PM OESZ,4,4,4,4,4,Female,55-64,Germany,Bachelor's Degree (or comparable university degree),Economics,"Undergraduate-level mathematics (calculus, matrices, vectors, statistics)",Advanced (C1),Smartphone,"Built-in speakers (in smartphone, notebook, tablet, etc.)",11.075833333333334
13,"https://en.wikipedia.org/wiki/Erlangen_program|{\displaystyle \mathrm {O} (n,1)/\mathrm {C} _{2},\ }",Mathematics,11-20,11,"{\displaystyle \mathrm {O} (n,1)/\mathrm {C} _{2},\ }",https://en.wikipedia.org/wiki/Erlangen_program,standard,"Capital O, open parenthesis, n, comma, one, close parenthesis, divided by, Capital C subscript two.","<prosody rate=""slow"">Capital O, <break time=""200ms""/> open parenthesis, <break time=""150ms""/> n, <break time=""150ms""/> comma, <break time=""150ms""/> one, <break time=""150ms""/> close parenthesis, <break time=""250ms""/> <emphasis>divided by</emphasis>, <break time=""250ms""/> Capital C subscript two.</prosody>",1,1,14,study1_r4,14A,4,Nothing was difficult,4,4,4,,2026/07/03 12:16:41 PM OESZ,2,2,2,4,2,Female,45-54,Germany,Doctorate / PhD (or comparable university degree),Mathematics;Statistics;Economics;Computer Science;Health Sciences,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Desktop computer,"Built-in speakers (in smartphone, notebook, tablet, etc.)",11.075833333333334
13,"https://en.wikipedia.org/wiki/Erlangen_program|{\displaystyle \mathrm {O} (n,1)/\mathrm {C} _{2},\ }",Mathematics,11-20,11,"{\displaystyle \mathrm {O} (n,1)/\mathrm {C} _{2},\ }",https://en.wikipedia.org/wiki/Erlangen_program,standard,"Capital O, open parenthesis, n, comma, one, close parenthesis, divided by, Capital C subscript two.","<prosody rate=""slow"">Capital O, <break time=""200ms""/> open parenthesis, <break time=""150ms""/> n, <break time=""150ms""/> comma, <break time=""150ms""/> one, <break time=""150ms""/> close parenthesis, <break time=""250ms""/> <emphasis>divided by</emphasis>, <break time=""250ms""/> Capital C subscript two.</prosody>",1,1,14,study1_r5,14A,5,Nothing was difficult,5,5,5,,2026/07/14 1:14:47 AM OESZ,4,4,4,3,3,Male,35-44,Germany,Master's Degree (or comparable university degree),Mathematics;Statistics,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Smartphone,Earbuds,11.075833333333334
40,http://en.wikipedia.org/wiki/Lamb_shift|\langle \delta \vec{r} \rangle _{vac} =0,Physics,1-10,6,\langle \delta \vec{r} \rangle _{vac} =0,http://en.wikipedia.org/wiki/Lamb_shift,extended,"Since the fluctuations are isotropic, the vacuum expectation value, written as left angle bracket, delta vector r, right angle bracket, with subscript v a c, equals zero.","<prosody rate=""medium"">Since the fluctuations are isotropic, the vacuum expectation value,</prosody><break time=""200ms""/><prosody rate=""slow"">written as <emphasis>left angle bracket</emphasis>, <emphasis>delta vector r</emphasis>, <emphasis>right angle bracket</emphasis>,</prosody><break time=""150ms""/><prosody rate=""slow"">with subscript <emphasis>v a c</emphasis>,</prosody><break time=""200ms""/><prosody rate=""medium""><emphasis>equals zero.</emphasis></prosody>",1,2,17,study1_r1,17B,4,"Brackets and grouping (e.g. ""(..)"" or ""{..}"");Subscripts and indices",3,3,2,4.0,2026/06/17 12:33:08 PM OESZ,5,3,2,2,1,Male,35-44,Germany,Doctorate / PhD (or comparable university degree),Physics;Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Desktop computer,Earbuds,13.949333333333334
40,http://en.wikipedia.org/wiki/Lamb_shift|\langle \delta \vec{r} \rangle _{vac} =0,Physics,1-10,6,\langle \delta \vec{r} \rangle _{vac} =0,http://en.wikipedia.org/wiki/Lamb_shift,extended,"Since the fluctuations are isotropic, the vacuum expectation value, written as left angle bracket, delta vector r, right angle bracket, with subscript v a c, equals zero.","<prosody rate=""medium"">Since the fluctuations are isotropic, the vacuum expectation value,</prosody><break time=""200ms""/><prosody rate=""slow"">written as <emphasis>left angle bracket</emphasis>, <emphasis>delta vector r</emphasis>, <emphasis>right angle bracket</emphasis>,</prosody><break time=""150ms""/><prosody rate=""slow"">with subscript <emphasis>v a c</emphasis>,</prosody><break time=""200ms""/><prosody rate=""medium""><emphasis>equals zero.</emphasis></prosody>",1,2,17,study1_r2,17B,2,"Brackets and grouping (e.g. ""(..)"" or ""{..}"")",3,3,3,2.0,2026/06/26 5:07:04 PM OESZ,5,5,5,5,3,Female,55-64,Germany,Master's Degree (or comparable university degree),Social Sciences;Humanities and Languages,"Secondary school mathematics (functions, logarithms, trigonometry)",Intermediate (B1-B2),Tablet,"Built-in speakers (in smartphone, notebook, tablet, etc.)",13.949333333333334
40,http://en.wikipedia.org/wiki/Lamb_shift|\langle \delta \vec{r} \rangle _{vac} =0,Physics,1-10,6,\langle \delta \vec{r} \rangle _{vac} =0,http://en.wikipedia.org/wiki/Lamb_shift,extended,"Since the fluctuations are isotropic, the vacuum expectation value, written as left angle bracket, delta vector r, right angle bracket, with subscript v a c, equals zero.","<prosody rate=""medium"">Since the fluctuations are isotropic, the vacuum expectation value,</prosody><break time=""200ms""/><prosody rate=""slow"">written as <emphasis>left angle bracket</emphasis>, <emphasis>delta vector r</emphasis>, <emphasis>right angle bracket</emphasis>,</prosody><break time=""150ms""/><prosody rate=""slow"">with subscript <emphasis>v a c</emphasis>,</prosody><break time=""200ms""/><prosody rate=""medium""><emphasis>equals zero.</emphasis></prosody>",1,2,17,study1_r3,17B,4,"Brackets and grouping (e.g. ""(..)"" or ""{..}"")",3,3,3,3.0,2026/06/30 6:35:48 PM OESZ,4,4,4,4,4,Female,55-64,Germany,Bachelor's Degree (or comparable university degree),Economics,"Undergraduate-level mathematics (calculus, matrices, vectors, statistics)",Advanced (C1),Smartphone,"Built-in speakers (in smartphone, notebook, tablet, etc.)",13.949333333333334
40,http://en.wikipedia.org/wiki/Lamb_shift|\langle \delta \vec{r} \rangle _{vac} =0,Physics,1-10,6,\langle \delta \vec{r} \rangle _{vac} =0,http://en.wikipedia.org/wiki/Lamb_shift,extended,"Since the fluctuations are isotropic, the vacuum expectation value, written as left angle bracket, delta vector r, right angle bracket, with subscript v a c, equals zero.","<prosody rate=""medium"">Since the fluctuations are isotropic, the vacuum expectation value,</prosody><break time=""200ms""/><prosody rate=""slow"">written as <emphasis>left angle bracket</emphasis>, <emphasis>delta vector r</emphasis>, <emphasis>right angle bracket</emphasis>,</prosody><break time=""150ms""/><prosody rate=""slow"">with subscript <emphasis>v a c</emphasis>,</prosody><break time=""200ms""/><prosody rate=""medium""><emphasis>equals zero.</emphasis></prosody>",1,2,17,study1_r4,17B,1,"Brackets and grouping (e.g. ""(..)"" or ""{..}"");Capitalization",2,2,2,2.0,2026/07/03 12:16:41 PM OESZ,2,2,2,4,2,Female,45-54,Germany,Doctorate / PhD (or comparable university degree),Mathematics;Statistics;Economics;Computer Science;Health Sciences,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Desktop computer,"Built-in speakers (in smartphone, notebook, tablet, etc.)",13.949333333333334
40,http://en.wikipedia.org/wiki/Lamb_shift|\langle \delta \vec{r} \rangle _{vac} =0,Physics,1-10,6,\langle \delta \vec{r} \rangle _{vac} =0,http://en.wikipedia.org/wiki/Lamb_shift,extended,"Since the fluctuations are isotropic, the vacuum expectation value, written as left angle bracket, delta vector r, right angle bracket, with subscript v a c, equals zero.","<prosody rate=""medium"">Since the fluctuations are isotropic, the vacuum expectation value,</prosody><break time=""200ms""/><prosody rate=""slow"">written as <emphasis>left angle bracket</emphasis>, <emphasis>delta vector r</emphasis>, <emphasis>right angle bracket</emphasis>,</prosody><break time=""150ms""/><prosody rate=""slow"">with subscript <emphasis>v a c</emphasis>,</prosody><break time=""200ms""/><prosody rate=""medium""><emphasis>equals zero.</emphasis></prosody>",1,2,17,study1_r5,17B,4,Superscripts and exponents,4,4,3,3.0,2026/07/14 1:14:47 AM OESZ,4,4,4,3,3,Male,35-44,Germany,Master's Degree (or comparable university degree),Mathematics;Statistics,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Smartphone,Earbuds,13.949333333333334
41,"https://en.wikipedia.org/wiki/Brewster%27s_angle|{\displaystyle \theta _{\mathrm {B} }=\arctan \!\left({\frac {n_{2}}{n_{1}}}\right)\!,}",Physics,11-20,15,"{\displaystyle \theta _{\mathrm {B} }=\arctan \!\left({\frac {n_{2}}{n_{1}}}\right)\!,}",https://en.wikipedia.org/wiki/Brewster%27s_angle,extended,"Brewster’s angle, theta subscript capital B, equals the arctangent of, open parenthesis, n subscript two over n subscript one, close parenthesis, where n subscript one is the refractive index of the initial incident medium and n subscript two is the refractive index of the other medium.","<prosody rate=""medium"">Brewster’s angle, <break time=""200ms""/> theta subscript capital B, <break time=""200ms""/> equals <break time=""150ms""/> the <emphasis>arctangent</emphasis> of, <break time=""150ms""/> open parenthesis, <break time=""150ms""/> <prosody rate=""slow"">n subscript two over n subscript one,</prosody> <break time=""150ms""/> close parenthesis, <break time=""250ms""/> where n subscript one is the refractive index of the initial incident medium and n subscript two is the refractive index of the other medium.</prosody>",1,3,18,study1_r1,18B,5,Subscripts and indices,3,3,2,5.0,2026/06/17 12:33:08 PM OESZ,5,3,2,2,1,Male,35-44,Germany,Doctorate / PhD (or comparable university degree),Physics;Computer Science,"Advanced university mathematics (proofs, abstract algebra, advanced calculus, etc.)",Advanced (C1),Desktop computer,Earbuds,19.226
